,,@type,position,item.@type,item.additionalType,item.name,item.image,item.description,item.brand.@type,item.brand.name,item.author.@type,item.author.name,item.model,item.bodyType,item.fuelType,item.seatingCapacity,item.color,item.mainEntityOfPage,item.url,item.offers.@type,item.offers.price,item.offers.priceCurrency,item.offers.itemCondition,item.offers.availability,item.offers.seller.@type,item.offers.seller.homeLocation.@type,item.offers.seller.homeLocation.address.@type,item.offers.seller.homeLocation.address.addressLocality,item.offers.seller.homeLocation.address.addressRegion,item.offers.seller.homeLocation.address.url
Page1581,0,ListItem,1,Product,Car,2014 Ford Ranger 2.2 DOUBLE CAB (ปี 12-15) XLT Pickup,['https://img1.icarcdn.com/95842221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-ford-ranger-xlt-pickup-thailand_000095842221_f0761d06_2324_401e_a92a_2af10cc33608.jpg.webp?smia=xTM'],2014 Ford Ranger 2.2 DOUBLE CAB (ปี 12-15) XLT Pickup    FORD RANGER Hi-Rider ...,Brand,Ford,Person,One2Car,Ranger,Pickup,Diesel,5,สีฟ้า,https://www.one2car.com/for-sale/ford-ranger-xlt-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12224859,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224859,Offer,349000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/WISDOMAUTO
Page1581,1,ListItem,2,Product,Car,2019 Nissan NP 300 Navara 2.5 KING CAB S Pickup,['https://img3.icarcdn.com/92842221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-nissan-np-300-navara-s-pickup-thailand_100bc9484eeab80a9034b5bea8ec5b16_49b3ed5f_791b_4aa7_b1d3_a9cf2cbc0402_000092842221_3732ac79_0ee1_44f8_bf1e_c964a94b8c46.jpg.webp?smia=xTM'],Nissan Navara NP300 2.5ดีเซล เกียร์ธรรมดา ปี2019 มือเดียวป้ายแดง สีขาวไมล์แท้ ...,Brand,Nissan,Person,One2Car,NP 300 Navara,Pickup,Diesel,2,สีขาว,https://www.one2car.com/for-sale/nissan-np-300-navara-s-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12224829,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224829,Offer,369000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/61b5ce8a-eb5b-4309-a08b-aee4849cb001
Page1581,2,ListItem,3,Product,Car,1998 Mercedes-Benz S280 2.8 W140 (ปี 91-98) Sedan,['https://img5.icarcdn.com/17642221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mercedes-benz-s-class-s280-sedan-thaila_000017642221_0b0d0e50_59e0_4ead_9c23_ade4d18669ed.jpg.webp?smia=xTM'],ก็ใจมันรัก รถยุคนั้น  “เจ้าคุณปู่”  ตั้งแต่เล่นรถรุ่นนี้มา W140  ...,Brand,Mercedes-Benz,Person,One2Car,S280,Sedan,Petrol - Unleaded (ULP),5,สีเงิน,https://www.one2car.com/for-sale/mercedes-benz-s280-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/12224671,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224671,Offer,255000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,สมุทรปราการ,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/Popautocar
Page1581,3,ListItem,4,Product,Car,2015 Hyundai H-1 2.5 (ปี 08-17) Deluxe Van,['https://img2.icarcdn.com/81642221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-hyundai-h-1-deluxe-van-thailand_000081642221_e54761bc_efbd_475e_b2a7_6b7f10761a57.jpg.webp?smia=xTM'],🤎 Hyundai H-1 2.5cc Duluxe ปี2015   🤎 เครื่องยนต์ดีเซล ...,Brand,Hyundai,Person,One2Car,H-1,Van,Diesel,12,สีน้ำตาล,https://www.one2car.com/for-sale/hyundai-h-1-deluxe-ภาคกลาง-อำเภออุทัย/12224618,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224618,Offer,799000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,พระนครศรีอยุธยา,ภาคกลาง,https://www.one2car.com/dealer/poeusedcars
Page1581,4,ListItem,5,Product,Car,2015 BMW 320d 2.0 F34 (ปี 13-16) Gran Turismo Sedan,['https://img4.icarcdn.com/37542221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-bmw-3-series-320d-gran-turismo-sedan-th_c9dc99ab16206b49114e2cd345e2a928_c3b823be_234b_4271_8ff4_b345d6f6df3f_000037542221_887f6e8e_4a43_4e3e_88b2_6c80d8d5423a.JPG.webp?smia=xTM'],BMW 320d GT Sport     รถศูนย์ไทย ค.ศ.14 จด 15 ดีเซล FullOption เบาะไฟฟ้า+เมม ...,Brand,BMW,Person,One2Car,320d,Sedan,Diesel,5,สีเทา,https://www.one2car.com/for-sale/bmw-320d-gran-turismo-กรุงเทพและปริมณฑล-เลียบด่วนรามอินทรา-เกษตรนวมินทร์/12224573,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224573,Offer,1190000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/ENZO-O2C
Page1581,5,ListItem,6,Product,Car,2016 Subaru XV 2.0 (ปี 12-16) XV 4WD SUV,['https://img2.icarcdn.com/91542221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-subaru-xv-xv-suv-thailand_000091542221_bc227b90_69c2_461a_8115_74123bbe79ba.JPG.webp?smia=xTM'],"2016 Subaru XV 2.0 (ปี 12-16) XV 4WD SUV  ราคา 388,000 บาท    ...",Brand,Subaru,Person,One2Car,XV,SUV,Petrol - Unleaded (ULP),5,สีเทา,https://www.one2car.com/for-sale/subaru-xv-xv-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12224519,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224519,Offer,388000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/A8YOUTTANA
Page1581,6,ListItem,7,Product,Car,2011 Isuzu D-Max 3.0 CAB-4 (ปี 07-11) Hi-Lander Super Titanium Pickup,['https://img1.icarcdn.com/86442221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-isuzu-d-max-hi-lander-super-titanium-pi_c9dc99ab16206b49114e2cb11551c1a5_dd994eba_4519_4199_98fe_c4d6e54813b5_000086442221_917457fc_9a55_403d_8c24_e90fe376bce6.JPG.webp?smia=xTM'],อุปกรณ์เสริมและอุปกรณ์ตกแต่ง    ABS AIRBAG กระจกไฟฟ้า กระจกมองข้างปรับไฟฟ้า ...,Brand,Isuzu,Person,One2Car,D-Max,Pickup,Diesel,5,สีขาว,https://www.one2car.com/for-sale/isuzu-d-max-hi-lander-super-titanium-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12224468,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224468,Offer,379000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/SINYONT
Page1581,7,ListItem,8,Product,Car,2020 Toyota Yaris Ativ 1.2 (ปี 17-22) Entry Sedan,['https://img2.icarcdn.com/39142221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-toyota-yaris-ativ-entry-sedan-thailand_000039142221_f93f8e98_2709_4fb4_ae1e_9f9858296349.JPG.webp?smia=xTM'],2020 Toyota Yaris Ativ 1.2 (ปี 17-22) Entry Sedan  #ออกรถฟรีทุกอย่าง เพียง ...,Brand,Toyota,Person,One2Car,Yaris Ativ,Sedan,Petrol - Unleaded (ULP),5,สีเงิน,https://www.one2car.com/for-sale/toyota-yaris-ativ-entry-กรุงเทพและปริมณฑล-ลำลูกกา/12224193,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224193,Offer,389000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/OAUTO-O2C
Page1581,8,ListItem,9,Product,Car,2013 Ford Focus 2.0 (ปี 12-16) Sport+ Hatchback,['https://img4.icarcdn.com/68142221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-ford-focus-sport-hatchback-thailand_474fc10a9876351a0dc4c3c71f95a3ea_d656a2d0_c718_4193_afa1_4e7dedfb7d3d_000068142221_0db56093_a344_4de9_89be_1c358d47620e.jpg.webp?smia=xTM'],"รถมือสอง Ford Focus 2.0 Ti-VCT GDi Sport+ 2013   ออกรถ0บาท ราคา 2 7 9 , 0 0 0 ...",Brand,Ford,Person,One2Car,Focus,Hatchback,Petrol - Unleaded (ULP),5,สีเทา,https://www.one2car.com/for-sale/ford-focus-sport-plus-กรุงเทพและปริมณฑล-อำเภอบางพลี/12224186,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224186,Offer,279000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,สมุทรปราการ,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/MaiAutoCar
Page1581,9,ListItem,10,Product,Car,2012 Nissan Frontier Navara 2.5 4DR Calibre Sport Version Pickup,['https://img5.icarcdn.com/71042221/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-nissan-frontier-navara-calibre-sport-ve_000071042221_d1002f11_64b2_431c_9f96_e31681ef87d4.JPG.webp?smia=xTM'],2013 Nissan Frontier Navara 2.5 4DR Calibre Sport Version Pickup ฟรีดาวน์ ...,Brand,Nissan,Person,One2Car,Frontier Navara,Pickup,Diesel,5,สีขาว,https://www.one2car.com/for-sale/nissan-frontier-navara-calibre-sport-version-กรุงเทพและปริมณฑล-ลำลูกกา/12224017,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1581&page_size=26#listing_12224017,Offer,299000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/OAUTO-O2C
