,,@type,position,item.@type,item.additionalType,item.name,item.image,item.description,item.brand.@type,item.brand.name,item.author.@type,item.author.name,item.model,item.bodyType,item.fuelType,item.seatingCapacity,item.color,item.mainEntityOfPage,item.url,item.offers.@type,item.offers.price,item.offers.priceCurrency,item.offers.itemCondition,item.offers.availability,item.offers.seller.@type,item.offers.seller.homeLocation.@type,item.offers.seller.homeLocation.address.@type,item.offers.seller.homeLocation.address.addressLocality,item.offers.seller.homeLocation.address.addressRegion,item.offers.seller.homeLocation.address.url
Page1431,0,ListItem,1,Product,Car,2019 Mitsubishi Mirage 1.2 (ปี 19-23) GLS Hatchback,['https://img1.icarcdn.com/35448321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mitsubishi-mirage-gls-hatchback-thailan_c9dc99ab16206b49114e2cb1b4519db5_20c1f769_c2a3_401b_903d_444d3e62794e_000035448321_61f840c5_9de4_4352_b06f_e69a79902167.jpg.webp?smia=xTM'],"MITSUBISHI MIRAGE 1.2 GLS AT ปี 2018 จด ปี 2019  เลขไมล์ 26,xxx กม. เครื่องยนต์ ...",Brand,Mitsubishi,Person,One2Car,Mirage,Hatchback,Petrol - Unleaded (ULP),5,สีดำ,https://www.one2car.com/for-sale/mitsubishi-mirage-gls-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12384453?auc=true,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384453,Offer,317000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/PVAUTO-O2C
Page1431,1,ListItem,2,Product,Car,2012 Nissan Almera 1.2 (ปี 11-19) E Sedan,['https://img4.icarcdn.com/92448321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-nissan-almera-e-sedan-thailand_c9dc99ab16206b49114e2cb1b4519db5_20c1f769_c2a3_401b_903d_444d3e62794e_000092448321_4b021b7c_2ab9_42c2_9558_a469aa4fcdd8.jpg.webp?smia=xTM'],"NISSAN ALMERA 1.2 E AT ปี 2012  เลขไมล์ 212,xxx กม. เครื่องยนต์ 1,200 cc.  ราคา ...",Brand,Nissan,Person,One2Car,Almera,Sedan,Petrol - Unleaded (ULP),5,สีขาว,https://www.one2car.com/for-sale/nissan-almera-e-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12384429?auc=true,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384429,Offer,187000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/PVAUTO-O2C
Page1431,2,ListItem,3,Product,Car,2018 Honda Civic 1.8 FC (ปี 16-20) EL i-VTEC Sedan,['https://img2.icarcdn.com/62448321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-honda-civic-el-i-vtec-sedan-thailand_000062448321_ace42336_1805_4127_8330_99458290117d.jpg.webp?smia=xTM'],รถบ้านพร้อมใช้งาน,Brand,Honda,Person,One2Car,Civic,Sedan,Petrol - Unleaded (ULP),5,สีขาว,https://www.one2car.com/for-sale/honda-civic-el-i-vtec-ภาคใต้-อำเภอทุ่งสง/12384426,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384426,Offer,679000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,นครศรีธรรมราช,ภาคใต้,https://www.one2car.com/dealer/Supojmotor
Page1431,3,ListItem,4,Product,Car,2018 Toyota Yaris Ativ 1.2 (ปี 17-22) E Sedan,['https://img5.icarcdn.com/00448321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-toyota-yaris-ativ-e-sedan-thailand_c9dc99ab16206b49114e2cb1b4519db5_20c1f769_c2a3_401b_903d_444d3e62794e_000000448321_5db1518f_0d44_4aff_b661_f351b29b9ccf.jpg.webp?smia=xTM'],"TOYOTA YARIS ATIV 1.2 E AT ปี 2018  เลขไมล์ 49,xxx กม. เครื่องยนต์ 1,200 cc.  ...",Brand,Toyota,Person,One2Car,Yaris Ativ,Sedan,Petrol - Unleaded (ULP),5,สีเงิน,https://www.one2car.com/for-sale/toyota-yaris-ativ-e-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12384400?auc=true,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384400,Offer,377000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/PVAUTO-O2C
Page1431,4,ListItem,5,Product,Car,2012 Toyota FJ CRUISER 4.0 (ปี 07-22) 4x4 Wagon,['https://img5.icarcdn.com/57672321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-toyota-fj-cruiser-4x4-wagon-thailand_000057672321_0b1a3575_5354_42f6_98e9_8642b8a7764b.jpg.webp?smia=xTM'],"TOYOTA FJ CRUISER 4.0 V6 4WD A/T 2012 สีเหลือง (LL0299)    ราคา 2,999,000 บาท   ...",Brand,Toyota,Person,One2Car,FJ CRUISER,Wagon,Petrol - Unleaded (ULP),5,สีเหลือง,https://www.one2car.com/for-sale/toyota-fj-cruiser-4x4-ภาคอีสาน-อำเภอเมืองอุบลราชธานี/12327675?auc=true,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12327675,Offer,2999000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,อุบลราชธานี,ภาคอีสาน,https://www.one2car.com/dealer/mongkolcarcenter
Page1431,5,ListItem,6,Product,Car,2014 Toyota Harrier 2.5 (ปี 14-17) Hybrid E- Four 4WD Wagon,['https://img1.icarcdn.com/77348321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-toyota-harrier-hybrid-e--four-wagon-tha_c9dc99ab16209b49116e7d5e642fa476_5d3c16c1_e0ab_4107_9c5a_e9bab956dba2_000077348321_45b12c9d_eeca_4c14_b47b_b81f318980a4.jpg.webp?smia=xTM'],"2014 TOYOTA HARRIER 2.5 Hybrid E-Four  ราคาพิเศษ เพียง 868,000 บาท   .  ✅ ...",Brand,Toyota,Person,One2Car,Harrier,Wagon,Petrol - Unleaded (ULP),5,สีดำ,https://www.one2car.com/for-sale/toyota-harrier-hybrid-e-four-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12384377,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384377,Offer,868000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/pjcarmart
Page1431,6,ListItem,7,Product,Car,2018 Mitsubishi Pajero Sport 2.4 (ปี 15-18) GT Premium SUV,['https://img1.icarcdn.com/96348321/thumb-l_%E0%B8%A3%E0%B8%96%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%AA%E0%B8%AD%E0%B8%87-one2car-mitsubishi-pajero-sport-gt-premium-suv-_c9dc99ab16206b49114e2cb1b4519db5_20c1f769_c2a3_401b_903d_444d3e62794e_000096348321_5759261d_9b09_49cf_a99a_776c50804775.jpg.webp?smia=xTM'],"MITSUBISHI PAJERO 2.4GT PREMIUM AT ปี 2018  เลขไมล์ 57,xxx กม. เครื่องยนต์ ...",Brand,Mitsubishi,Person,One2Car,Pajero Sport,SUV,Diesel,7,สีเงิน,https://www.one2car.com/for-sale/mitsubishi-pajero-sport-gt-premium-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12384369?auc=true,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_12384369,Offer,877000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/PVAUTO-O2C
Page1431,7,ListItem,8,Product,Car,2007 BMW X3 2.5 E83 (ปี 03-10) 4WD SUV,['https://img2.icarcdn.com/8230447/thumb-l_used-car-one2car-bmw-x-x3-suv-thailand_c9dc99ab16206b49114e4c4092a082bd_CzaNwBisasWpqqWIpgBHAw_000008230447_8ad90d12_200e_4cdb_a1c6_55a91e0d697a.jpg?smia=xTM'],"อุปกรณ์เสริมและอุปกรณ์ตกแต่ง    เครื่องเล่น DVD,CD,USB,กระจกไฟฟ้า, ...",Brand,BMW,Person,One2Car,X3,SUV,Petrol - Unleaded (ULP),5,สีเงิน,https://www.one2car.com/for-sale/bmw-x3-กรุงเทพและปริมณฑล-กาญจนาภิเษก/7440328,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_7440328,Offer,488000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/CandCautoland1
Page1431,8,ListItem,9,Product,Car,2009 Nissan Frontier Navara 2.5 4DR LE 4WD Pickup,['https://img5.icarcdn.com/2720477/thumb-l_used-car-one2car-nissan-frontier-navara-le-pickup-thailand_c9dc99ab16206b49114e4c4092a082bd_CzaNwBisasWpqqWIpgBHAw_000002720477_fb431d9c_8864_484b_9018_9def02103668.JPG?smia=xTM'],"อุปกรณ์เสริมและอุปกรณ์ตกแต่ง    เครื่องเล่น DVD,CD,USB,กระจกไฟฟ้า, ...",Brand,Nissan,Person,One2Car,Frontier Navara,Pickup,Diesel,4,สีเทา,https://www.one2car.com/for-sale/nissan-frontier-navara-le-กรุงเทพและปริมณฑล-กาญจนาภิเษก/7740272,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_7740272,Offer,299000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/CandCautoland1
Page1431,9,ListItem,10,Product,Car,2008 BMW 320d 2.0 E90 (ปี 05-13) SE Sedan,['https://img3.icarcdn.com/3035448/thumb-l_used-car-one2car-bmw-3-series-320d-se-sedan-thailand_c9dc99ab16206b49114e4c4092a082bd_CzaNwBisasWpqqWIpgBHAw_000003035448_c33c6384_d9c0_4ef5_a38d_de8d323d670b.JPG.webp?smia=xTM'],真诚相邀您前来C&C Auto Land 选车，这里有物超所值的二手车与专业的选车建议。一定能帮您挑选出心仪的好车。等候您的光临！    ...,Brand,BMW,Person,One2Car,320d,Sedan,Diesel,5,สีดำ,https://www.one2car.com/for-sale/bmw-320d-se-กรุงเทพและปริมณฑล-กาญจนาภิเษก/8445303,https://www.one2car.com/%E0%B8%A3%E0%B8%96-%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%82%E0%B8%B2%E0%B8%A2?page_number=1431&page_size=26#listing_8445303,Offer,467000,THB,https://schema.org/UsedCondition,https://schema.org/InStock,Person,Place,PostalAddress,กรุงเทพมหานคร,กรุงเทพและปริมณฑล,https://www.one2car.com/dealer/CandCautoland1
