Brand,Model_SubModel,Year,GearType,Price
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2020,AUTO,"2,600,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2021,AUTO,"2,700,000"
AUDI,A5 2.0 Coupe 45 TFSI Quattro S line Black Edition (MY17) (MNC),2022,AUTO,"2,800,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2009,AUTO,"630,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2010,AUTO,"660,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2011,AUTO,"690,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2012,AUTO,"720,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2013,AUTO,"750,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2014,AUTO,"780,000"
AUDI,"A6 2.0 Turbo FSI
(WAUZZZ8E)",2015,AUTO,"810,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2009,AUTO,"670,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2010,AUTO,"700,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2011,AUTO,"730,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2012,AUTO,"760,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2013,AUTO,"790,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2014,AUTO,"820,000"
AUDI,"A6 2.0 Turbo FSI Avant
(WAUZZZ8KX8N)",2015,AUTO,"850,000"
AUDI,A6 1.8 TFSI,2016,AUTO,"1,600,000"
AUDI,A6 1.8 TFSI,2017,AUTO,"1,700,000"
AUDI,A6 2.0 TDI,2016,AUTO,"1,700,000"
AUDI,A6 2.0 TDI,2017,AUTO,"1,800,000"
AUDI,A6 1.8 35 TFSI S line (MY17),2017,AUTO,"1,600,000"
AUDI,A6 1.8 35 TFSI S line (MY17),2018,AUTO,"1,700,000"
AUDI,A6 1.8 35 TFSI S line (MY17),2019,AUTO,"1,800,000"
AUDI,A6 3.0 55 TFSI Avant Quattro S line (MY18),2018,AUTO,"3,150,000"
AUDI,A6 3.0 55 TFSI Avant Quattro S line (MY18),2019,AUTO,"3,350,000"
AUDI,A6 3.0 55 TFSI Avant Quattro S line (MY18),2020,AUTO,"3,550,000"
AUDI,A6 3.0 55 TFSI Avant Quattro S line (MY18),2021,AUTO,"3,750,000"
AUDI,A6 2.0 45 TFSI Avant Quattro S-line Black Edition (CBU) (MY19),2019,AUTO,"2,950,000"
AUDI,A6 2.0 45 TFSI Avant Quattro S-line Black Edition (CBU) (MY19),2020,AUTO,"3,100,000"
AUDI,A6 2.0 45 TFSI Avant Quattro S-line Black Edition (CBU) (MY19),2021,AUTO,"3,250,000"
AUDI,A6 2.0 45 TFSI Avant Quattro S-line Black Edition (CBU) (MY19),2022,AUTO,"3,400,000"
AUDI,A6 2.0 40 TFSI S line (CBU) (MY20),2020,AUTO,"2,400,000"
AUDI,A6 2.0 40 TFSI S line (CBU) (MY20),2021,AUTO,"2,500,000"
AUDI,A6 2.0 40 TFSI S line (CBU) (MY20),2022,AUTO,"2,600,000"
AUDI,A6 2.0 40 TFSI Avant S line (CBU) (MY20),2020,AUTO,"2,400,000"
AUDI,A6 2.0 40 TFSI Avant S line (CBU) (MY20),2021,AUTO,"2,500,000"
AUDI,A6 2.0 40 TFSI Avant S line (CBU) (MY20),2022,AUTO,"2,600,000"
AUDI,A7 3.0 55 TFSI Quattro S line Sportback (MY17),2018,AUTO,"3,500,000"
AUDI,A7 3.0 55 TFSI Quattro S line Sportback (MY17),2019,AUTO,"3,700,000"
AUDI,A7 3.0 55 TFSI Quattro S line Sportback (MY17),2020,AUTO,"3,900,000"
AUDI,A7 3.0 55 TFSI Quattro S line Sportback (MY17),2021,AUTO,"4,100,000"
AUDI,A7 3.0 55 TFSI Quattro S line Sportback (MY17),2022,AUTO,"4,300,000"
AUDI,A7 2.0 45 TFSI Quattro Sportback (CBU),2019,AUTO,"3,000,000"
AUDI,A7 2.0 45 TFSI Quattro Sportback (CBU),2020,AUTO,"3,200,000"
AUDI,A7 2.0 45 TFSI Quattro Sportback (CBU),2021,AUTO,"3,400,000"
AUDI,A7 2.0 45 TFSI Quattro Sportback (CBU),2022,AUTO,"3,600,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Premium (MY18),2018,AUTO,"4,400,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Premium (MY18),2019,AUTO,"4,600,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Premium (MY18),2020,AUTO,"4,800,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Premium (MY18),2021,AUTO,"5,000,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Premium (MY18),2022,AUTO,"5,200,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Prestige (MY18),2018,AUTO,"4,900,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Prestige (MY18),2019,AUTO,"5,200,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Prestige (MY18),2020,AUTO,"5,500,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Prestige (MY18),2021,AUTO,"5,800,000"
AUDI,A8 L 3.0 55 TFSI Quattro Hybrid Prestige (MY18),2022,AUTO,"6,100,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2009,AUTO,"1,150,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2010,AUTO,"1,200,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2011,AUTO,"1,250,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2012,AUTO,"1,300,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2013,AUTO,"1,350,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2014,AUTO,"1,400,000"
AUDI,"TT 2.0 Coupe
(TRUZZZ8)",2015,AUTO,"1,450,000"
AUDI,TT 2.0 Coupe TFSI (MY15),2015,AUTO,"1,900,000"
AUDI,TT 2.0 Coupe TFSI (MY15),2016,AUTO,"2,000,000"
AUDI,TT 2.0 Coupe TFSI (MY15),2017,AUTO,"2,100,000"
AUDI,TTS 2.0 Coupe TFSI Quattro (MY15),2015,AUTO,"2,900,000"
